Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
Global Benefits Group (GBG),Global Benefits Group,Cold,insurance,340,insurance,,http://www.gbg.com,http://www.linkedin.com/company/global-benefits-group-gbg-,https://facebook.com/globalbenefitsgroupinsurance/,https://twitter.com/gbginsurance?lang=en,902 Carnegie Ctr,Princeton,New Jersey,United States,08540-6258,"902 Carnegie Ctr, Princeton, New Jersey, United States, 08540-6258","international individual plans, health, life, accident, dental, vision, disability, global employee benefits for groups, international school benefits",'+1 949-271-2330,,"Outlook, Act-On, Microsoft Azure Hosting, Amazon AWS, Salesforce, Google Tag Manager, ASP.NET, Nginx, Microsoft-IIS, Mobile Friendly, Bootstrap Framework, Multilingual, Google Analytics, Google Font API, Vimeo, Circle, Reviews, Remote, ",,,,,38000000,,675e5ccc78d7a801b0bcc3bc,6282,"GBG is a leading global insurance service company. We are a fully integrated insurance group with a focus on providing a range of insurance services designed to meet your needs.  We service health, life, disability, and travel insurance, with a client base that spans multinational corporations, expatriates, international students,  high net-worth individuals, international schools, and non-profit organizations. 

We aim to serve our clients, customers and partners with outstanding customer service. 

Our parent company GBG Insurance Limited is incorporated in Guernsey.

GBG has offices in New Jersey, Southern California; Belgrade, Serbia; Hyderabad, India; Jakarta, Indonesia; Johannesburg, South Africa; London, England; Manila, Philippines; Miami, Florida, USA; Shanghai, China; Toronto, Ontario, Canada; and Bangkok, Thailand. In addition, GBG has local field representation in Ethiopia, South Korea, Denmark, Singapore, Turkey, and the United Arab Emirates.

Under its TieCare International brand, GBG is a leading supplier of employee benefits to American and international schools around the world.",1981,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6758312f94502b00015870f1/picture
Surest,Surest,Cold,insurance,370,insurance,,,http://www.linkedin.com/company/surest,https://facebook.com/BindBenefits,https://twitter.com/bindbenefits,3033 Excelsior Blvd,Minneapolis,Minnesota,United States,55416-3201,"3033 Excelsior Blvd, Minneapolis, Minnesota, United States, 55416-3201","selfinsured employers & their employees, fully insured employers & their employees, ondemand health insurance, health insurance, health benefits",'+1 612-503-5003,"Surest, a UnitedHealthcare company, is an employer-sponsored health plan available to employers with 51+ employees.",,,,,,25000000,,675e5cd578d7a801b0bcc3e0,6411,"Surest, a UnitedHealthcare company, is dedicated to redesigning health insurance, offering a simpler and more transparent way for people to access the health care system. Surest plans eliminate deductibles, feature up-front pricing for medical services before care is scheduled or delivered and an intuitive digital experience – all with the goal of lowering premiums without compromising coverage or quality. The company offers health plans to employers across the country, accessed through a national network of physicians and care professionals, as well as hospitals and other care facilities nationwide.",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/65ad4321167e0400010bd1a6/picture
At-Bay,At-Bay,Cold,insurance,360,insurance,,http://www.at-bay.com,http://www.linkedin.com/company/at-bay,https://facebook.com/keepriskatbay,https://twitter.com/keeprisk_atbay,563 Castro St,San Francisco,California,United States,94114-2511,"563 Castro St, San Francisco, California, United States, 94114-2511","cyber insurance, cyber, cyber liability, insurance, it security, risk management, tech e, o, private enterprises, cyber security, insurtech, insurtech mga, insursec",'+1 888-338-9522,At-Bay is a cyber insurance provider designed from the ground up to help businesses meet digital risk head-on.,"Salesforce, Sendgrid, Gmail, Google Apps, Pantheon, Atlassian Cloud, React, Hubspot, Google Maps (Non Paid Users), Shutterstock, Google Tag Manager, Google Maps, New Relic, Hotjar, Varnish, Greenhouse.io, Linkedin Marketing Solutions, WordPress.org, YouTube, Google Analytics, Mobile Friendly, Nginx, FullStory, Intercom, Remote, AI",7121000000,Series D,185000000,2021-07-27,160000000,,675e5cd578d7a801b0bcc3e7,7371,"At-Bay is a California-based insurance company that offers services including cyber insurance, excess coverage and risk management for businesses.",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6752fb1ad7f1a500019fe8b7/picture
The Doctors Company,The Doctors Company,Cold,insurance,1100,insurance,,http://www.thedoctors.com,http://www.linkedin.com/company/the-doctors-company,https://www.facebook.com/thedoctorscompany,https://twitter.com/doctorscompany,185 Greenwood Drive,Napa,California,United States,94558,"185 Greenwood Drive, Napa, California, United States, 94558","medical malpractice insurance for physicians, surgeons, large groups, hospitals, integrated delivery systems, medical practice coverages, patient safety & risk management, cme, claims management",'+1 800-421-2368,The Doctors Company is the nation's largest physician-owned medical malpractice insurer. Apply for malpractice insurance coverage today.,"CloudFlare Hosting, Amazon AWS, Microsoft Application Insights, Hubspot, Google Dynamic Remarketing, DoubleClick Conversion, reCAPTCHA, DoubleClick, Hotjar, YouTube, Google Tag Manager, Twitter Advertising, Mobile Friendly, Linkedin Marketing Solutions, Google AdWords Conversion, Google Font API, Bootstrap Framework, Google Analytics, AI, Render, ",,,,,1000000000,,675e5ce678d7a802cfbc55d1,"6321, 6411",The Doctors Company is an insurance company that provides services on physician and surgeon medical liability.,1976,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67538f3ab63519000191f61a/picture
Imagine360,Imagine360,Cold,insurance,670,insurance,,,http://www.linkedin.com/company/imagine-360-health,https://www.facebook.com/Imagine360Health,https://twitter.com/_Imagine360,1550 Liberty Ridge Dr,Wayne,Pennsylvania,United States,19087,"1550 Liberty Ridge Dr, Wayne, Pennsylvania, United States, 19087","plan design, direct contracting, claims auditing, designated decision making, member advocacy & defense, analytics, selfinsurance, healthcare cost containment",'+1 972-238-7900,Imagine360 offers a self-funded health plan solution with reference-based pricing and provider partners with 50+ years of industry-leading experience.,"Route 53, Mimecast, Microsoft Office 365, Hubspot, WP Engine, Atlassian Cloud, React Redux, The Trade Desk, React, Google Dynamic Remarketing, Facebook Login (Connect), Google Font API, Google Tag Manager, Mobile Friendly, Facebook Widget, WordPress.org, Google Analytics, DoubleClick, Typekit, DoubleClick Conversion, Facebook Custom Audiences, iTunes, Bing Ads, YouTube, Google Play, Nginx, Ensighten, Linkedin Marketing Solutions",,,,,17521000,,675e5ce678d7a802cfbc55d3,8000,"Imagine360 is an integrated health plan addressing one of the greatest challenges on behalf of self-funded employers: healthcare costs are harming the bottom line, they're increasingly unaffordable for employees, and the experience remains poor. We help businesses and their employees navigate through clutter and chaos and bring deep cost savings that protect everyone's well-being and budgets. It's way more than a health plan. It's a promise. 

We've helped hundreds of self-funded clients. Our solutions are ready to be implemented. The results are proven and impactful. 

Imagine360's innovative payment model includes preferential contracting with providers and health systems, and additional price protection through reference-based pricing, saving employers 15-30% on average compared to the national carriers. 

With more than 17 years' experience, and 25-million-months of member data, Imagine360 offers care coordination and medical management to proactively guide members through the complexities of healthcare. We bring employers a reimagined health plan solution, created to provide the flexibility, service and support employers need to take good care of employees, their families and business. We do this through: 

- Assistance with plan design and expert administration with integrated third-party administration 

- Built-in price protection from the #1 reference-based pricing solution in healthcare 

- Provider contracts with Imagine Health's top-rated providers and health systems 

- Comprehensive member support throughout their healthcare journey 

It's more than a health plan. It's our promise to deliver a better health plan experience. 

Learn more at https://www.imagine360 today!",2003,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67532e547a627a0001440598/picture
First Niagara Bank,First Niagara Bank,Cold,insurance,1400,financial services,,http://www.firstniagara.com,http://www.linkedin.com/company/first-niagara-bank,https://facebook.com/pages/First-Niagara-Financial-Group/111956948830257?rf=113726335304507,https://twitter.com/firstniagara,726 Exchange Street,Buffalo,New York,United States,14210,"726 Exchange Street, Buffalo, New York, United States, 14210","banking, insurance, and investments, banks & credit unions, financial services",'+1 716-819-5500,,"Akamai DNS, Azure Devops, ",129519600,Other,129519600,1998-04-01,1451000000,4,675e5cee78d7a802cfbc55ec,"6199, 6411, 6321, 6199",First Niagara provides consumer and commercial financial services to individuals and business firms.,1870,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675e2367aea564000198baef/picture
Vault Insurance,Vault Insurance,Cold,insurance,220,insurance,,http://www.vaultinsurance.com,http://www.linkedin.com/company/vaultinsurance,https://facebook.com/vaultinsHQ,https://twitter.com/VaultInsHQ,199 Water St,New York,New York,United States,10038,"199 Water St, New York, New York, United States, 10038","insurance, property, casualty, high net worth",'+1 844-368-2858,Vault offers high net worth personal insurance and customized solutions for affluent individuals and families. Learn about protecting your priceless legacy.,"Route 53, Outlook, Microsoft Office 365, Atlassian Cloud, Mobile Friendly, Typekit, reCAPTCHA, Trustpilot, Twitter Advertising, Facebook Login (Connect), Google Analytics, Linkedin Marketing Solutions, Bootstrap Framework, Google Maps (Non Paid Users), DoubleClick, Facebook Widget, Hubspot, Facebook Custom Audiences, Google Dynamic Remarketing, DoubleClick Conversion, Google Maps, Google Tag Manager, Google Font API, Nginx, WordPress.org, Reviews, AI",,Other,,2017-10-01,5000000,,675e5cee78d7a802cfbc55ee,,"Vault offers high net worth personal insurance and customized solutions for individuals and families. We're not just insuring assets, we're reducing risks with data-driven technology to protect what matters most – cherished moments, family memories, and priceless legacies.",2017,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675d481d59bc9700019972ad/picture
Frontline Insurance,Frontline Insurance,Cold,insurance,420,insurance,,http://www.frontlineinsurance.com,http://www.linkedin.com/company/frontline-homeowners-insurance,https://facebook.com/pages/Frontline-Homeowners-Insurance/241186812575481,https://twitter.com/frontlineins,500 International Pkwy,Lake Mary,Florida,United States,32746,"500 International Pkwy, Lake Mary, Florida, United States, 32746","homeowners insurance, dwelling fire, high value home insurance, condominium insurance, flood insurance, rental home insurance, commercial insurance",'+1 877-744-5224,,"Amazon CloudFront, EasyDNS, Mimecast, Amazon Elastic Load Balancer, Pardot, Microsoft Office 365, Amazon AWS, AI",,,,,30240000,,675e5cee78d7a802cfbc55f1,"6411, 6331","At Frontline Insurance, we're more than an insurance company. We're your partner in protecting what matters most in your life. We bring peace of mind to your home, liability and property insurance needs by listening, understanding and responding with reliable, competitively priced insurance policies and individual attention. We provide coverage and a level of service that's above and beyond the expected. And if you experience a loss, we work as a partner to make you whole again, resolving your concerns, as well as your claims.

Frontline Insurance is a group of independent insurance companies serving coastal homeowners throughout the Southeast United States in Florida, Georgia, Alabama, North Carolina, and South Carolina. We offer homeowners a financially stable, proven insurance company with a record of superior claims service. Our partnership, experienced insurance agents and willingness to go the extra mile ease the burden that comes with experiencing a loss – and make your search for quality homeowners insurance at competitive rates simple and straightforward.",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675325e67839570001674b56/picture
CNC Catastrophe & National Claims,CNC Catastrophe & National Claims,Cold,insurance,370,insurance,,http://www.adjustingexpectations.com,http://www.linkedin.com/company/cnccatastrophe,https://www.facebook.com/cnccatastrophe,https://twitter.com/cnccatastrophe,2928 N McVay Dr,Mobile,Alabama,United States,36606,"2928 N McVay Dr, Mobile, Alabama, United States, 36606","field & desk adjusting, education & training, third party administration, staffing, customizable solutions, daily, catastrophe, large loss, commercial, nfip flood, private flood, liability, inside claims operations",'+1 800-843-0170,Together we’re building the future of claims. Reliable and compassionate claims services when policyholders need it most.,"Amazon AWS, accessiBe, Hubspot, Webflow, reCAPTCHA, YouTube, Google Analytics, Google Tag Manager, Facebook Widget, Linkedin Marketing Solutions, Facebook Custom Audiences, Mobile Friendly, MailChimp, Facebook Login (Connect), Typekit, Hotjar, Google Font API, Remote",,,,,25000000,,675e5cf778d7a802cfbc5602,,"Since 1988, CNC specializes in insurance claims services providing allocation for daily and catastrophe claims, IT infrastructure and claims management systems, first notice of loss, for TPA services, forensic engineering services, and a host of other services covering Property, Flood, and Auto insurance claim assignments for insurance carriers, the National Flood Insurance Program, and several private flood insurance companies, both domestic and abroad.

Don't forget to follow us on our other channels and get notified when new content is published! 

 
Visit our website 👉 https://www.adjustingexpectations.com/

Follow us on Facebook 👉 https://www.facebook.com/cnccatastrophe

Subscribe on YouTube 👉 https://www.youtube.com/c/CNCCatastropheNationalClaims

Listen to The New Adjuster Podcast on Spotify 👉 https://open.spotify.com/show/3MLxTmicIILJ2EMdNnBFt7

Follow us on Twitter 👉 https://twitter.com/cnccatastrophe

Follow us on TikTok 👉 https://www.tiktok.com/@cnccatastrophe",1988,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6744ef8268de3c0001bc0e3e/picture
Paradigm,Paradigm,Cold,insurance,1100,insurance,,http://www.paradigmcorp.com,http://www.linkedin.com/company/paradigmcorp,https://facebook.com/ParadigmCorporate/,https://twitter.com/paradigmsays,1277 Treat Boulevard,Walnut Creek,California,United States,94597,"1277 Treat Boulevard, Walnut Creek, California, United States, 94597","catastrophic care management, msk care management, behavioral health clinical management, case management, care at home, specialty networks, surgical implant cost management, shared decision support, complex recovery management",'+1 800-676-6777,,"Mimecast, Pardot, Microsoft Office 365, Bluekai, Pantheon, Microsoft Application Insights, Salesforce, Remote, AI",800000000,Debt Financing,800000000,2024-05-01,476000000,,675e5cf778d7a802cfbc5618,8000,"Paradigm is a California-based healthcare company that offers services such as clinical care management, and behavioral health support for employers and carriers.",1991,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675e3bbda1ba0a00019d0b20/picture
Liberty International Underwriters,Liberty International Underwriters,Cold,insurance,420,insurance,,http://www.libertyiu.com,http://www.linkedin.com/company/liberty-international-underwriters,https://facebook.com/lsmlibertyacademy,https://twitter.com/LibertySpecMkts,,New York,New York,United States,10041,"New York, New York, United States, 10041","property construction, property energy, e, s property, marine, primary casualty, excess casualty, umbrella, management liability, professional liability",'+44 20 3758 0000,,"Akamai, Akamai DNS, Microsoft Office 365, Amazon AWS, Salesforce, SOASTA, Nginx, Vimeo, Hotjar, ON24, Cedexis Radar, Mobile Friendly, Akamai RUM, Google Analytics, Google Maps (Non Paid Users), Adobe Media Optimizer, Google Tag Manager, Google Font API, Google Maps, Linkedin Marketing Solutions, Remote",,,,,242965000,,675e5cf778d7a802cfbc5619,6321,"Part of Liberty Mutual Insurance, Liberty International Underwriters (LIU) is a global specialty lines business with an emphasis on niche insurance products distributed through the independent broker network.",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675b5b2ada02ab0001ed3ed5/picture
Wealth Enhancement,Wealth Enhancement,Cold,insurance,1400,financial services,,,http://www.linkedin.com/company/wealth-enhancement,https://facebook.com/wealthenhancement/,https://twitter.com/WealthEnhance,505 Highway 169 N,Plymouth,Minnesota,United States,55441-4677,"505 Highway 169 N, Plymouth, Minnesota, United States, 55441-4677","financial planning, investment management, tax strategies, risk management, insurance, estate planning, group retirement plan consulting, retirement income planning",'+1 800-492-1222,,"Route 53, Outlook, Facebook Conversion Tracking, Bing Ads, StatusPage IO, React, The Trade Desk, Salesforce Live Agent, Salesforce Service Cloud, Salesforce, ExactTarget, MailJet, Google Analytics, DoubleClick Conversion, Adobe Media Optimizer, Mobile Friendly, Open AdStream (Appnexus), Facebook Custom Audiences, YouTube, Google Tag Manager, Evergage, Adform, WordPress.org, Google Dynamic Remarketing, Facebook Widget, Facebook Login (Connect), DoubleClick, Stripe, Vimeo, Linkedin Marketing Solutions, Cedexis Radar, Wistia, Disqus, AI",,Private Equity,,2021-08-01,410000000,,675e5cff78d7a801b0bcc441,"6282, 6199","In 1997, four advisors sharing an office space discovered they also shared an essential belief: The financial services industry needed a new and better way to provide advice to clients—one that would help relieve stress from their clients' financial lives.

They built a firm that would deliver truly comprehensive financial guidance, all under one roof, so that clients wouldn't have to deal with the hassle of managing multiple financial relationships, making complex decisions, or coordinating disparate accounts.

That idea has evolved into what we call the Roundtable™, our team of specialists and advisors in six core areas of wealth management. We believe that this team, paired with our 3-step UniFi™ process, helps ensure your financial life is organized, comprehensive and straightforward, enabling you to make more confident decisions and be less stressed when it comes to managing your wealth.

Securities offered through LPL Financial, Member SIPC  (www.SIPC.org). Advisory services offered through Wealth Enhancement Advisory Services, a registered investment advisor. Wealth Enhancement Group and Wealth Enhancement Advisory Services are separate entities from LPL Financial.",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67532044dedb7d000137e3eb/picture
"Pacesetter Claims Service, Inc",Pacesetter Claims Service,Cold,insurance,260,insurance,,http://www.pacesetterclaims.com,http://www.linkedin.com/company/pacesetter-claims-service,https://www.facebook.com/pacesetterclaims,https://twitter.com/PacesetterClaim,1350 S Boulder Ave,Tulsa,Oklahoma,United States,74119,"1350 S Boulder Ave, Tulsa, Oklahoma, United States, 74119","insurance claims services, staffing solutions, integrated technology offerings, daily claims handling, adjuster training",'+1 888-218-4880,Pacesetter Claims Service has been a leading provider of catastrophic and daily property claims adjusting services since 1997.,"Outlook, Google Cloud Hosting, Pardot, WP Engine, Facebook Login (Connect), Nginx, Lucky Orange, YouTube, Google Tag Manager, Facebook Custom Audiences, Google Analytics, Facebook Widget, WordPress.org, Mobile Friendly, Stripe, Google Font API, Hotjar",,,,,31750000,,675e5d1978d7a801b0bcc4d9,6321,"Since 1997, Pacesetter Claims Service has led the industry through technology, training and extensive support systems.  We've grown through claim related diversification into the multifaceted company that we are today.  Pacesetter is still family owned and operated with the core values that have kept us at the top of the industry.  Our growth has facilitated the acquisition of the top talent that oversee each facet to ensure quality and consistent levels of service.  Whatever your claims staffing needs are, Pacesetter has the answer.
Daily Claims, Catastrophe Claims, Desk Adjusters, Water mitigation file reviews/disputes, Appraisal/Dispute Resolutions and adjuster training.
Pacesetter has the adjusters and leadership to get the job done right.",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6754619ce2cd6c000120ae92/picture
Munich American Reassurance Company,Munich American Reassurance Company,Cold,insurance,280,insurance,,,http://www.linkedin.com/company/munich-re-life,,,,New York,New York,United States,,"New York, New York, United States","reinsurance, disability insurance, financial reinsurance, underwriting, medical, group life insurance, group disability insurance, risk management, capital management, individual life solutions, integrated analytics, biometric reseach, data science",,,,,,,,1500000000,,675e5d1978d7a801b0bcc4db,,"As one of the world's leading life reinsurers, Munich Re Life US' optimized solutions and capital management expertise expand beyond market leading offerings in individual life reinsurance, group, individual disability and financial reinsurance, to a global center for predictive analytics, automated underwriting, digital partnerships and standard-setting underwriting and medical capabilities.

We believe that the digital economy offers an unprecedented opportunity for the industry to rapidly advance risk assessment and help close the widening global underinsured gap.",1959,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/60fd0b35b97ce100011b1cb2/picture
INSURICA,INSURICA,Cold,insurance,600,insurance,,,http://www.linkedin.com/company/insurica,,,5100 North Classen Boulevard,Oklahoma City,Oklahoma,United States,73118,"5100 North Classen Boulevard, Oklahoma City, Oklahoma, United States, 73118",,'+1 602-273-1625,,,,,,,300000000,1,675e5d1978d7a801b0bcc4e7,,"INSURICA, established in 1959, is a family-owned business comprised of independent retail insurance agencies, program administrators, and risk pool managers that specialize in core industries and business disciplines and share their expertise with the entire group.

This unique structure provides INSURICA customers with unparalleled access to the most unique coverage and risk management expertise available, all delivered through a local agent relationship.

From construction to healthcare, energy to education and beyond, our industry-specific knowledge and extensive experience gives us valuable insight into your rare and often challenging needs.",1959,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67547b402818db0001d68e9a/picture
Strategic Risk Solutions,Strategic Risk Solutions,Cold,insurance,300,insurance,,http://www.strategicrisks.com,http://www.linkedin.com/company/strategic-risk-solutions,https://www.facebook.com/strategicrisks,https://twitter.com/StrategicRisks,2352 Main St,Concord,Massachusetts,United States,01742-3814,"2352 Main St, Concord, Massachusetts, United States, 01742-3814","captive insurance management, captive insurance consulting, cell facilities",'+1 781-487-9800,Control and leverage risk with SRS. Management and consulting for the insurance and alternative risk financing industry. Captive insurance experts.,"Sendgrid, Constant Contact, Outlook, Cloudflare DNS, CloudFlare Hosting, Microsoft Office 365, Microsoft Azure, Microsoft Sharepoint, Hubspot, Google Tag Manager, WordPress.org, YouTube, Google Analytics, reCAPTCHA, Mobile Friendly, Google translate API, Google Font API, Vimeo, Nginx, Linkedin Marketing Solutions, Remote, Circle",,Other,,2023-03-01,11368000,,675e5d1978d7a801b0bcc4e8,"6321, 6199","Strategic Risk Solutions is a leading independent insurance management firm with representation in all major onshore and offshore domiciles. It provides financial reporting, regulatory compliance and underwriting management services to existing and prospective captive insurance companies. SRS was ranked the 4th largest captive manager worldwide and the largest independent by Business Insurance.

For many people, captive management is treated as a routine task of keeping the books and records of a captive. The industry has been plagued by mediocre service, high staff turnover and low customer satisfaction. At SRS, we believe that isn't good enough.

Captive Management Plus reflects our commitment to be the premier provider of management and consulting services to the captive insurance industry. What do we mean by Plus? The Plus is both the quality rating of our core captive management services and the value added consulting services we provide in support of captive management. We achieve the Plus by:

--Delivering outstanding service;
--Strictly adhering to best-in-class internal controls and regular evaluations of these through Statement on Standards for Attestation Engagements No. 18 audits;
--Helping Clients succeed, particularly through our reputation for innovation; and
--Providing a depth of expertise by hiring the best in the business, keeping a laser focus on captives, as well as utilizing team structures and a ""one firm"" approach to servicing Clients.

This model has been validated by Client feedback from our annual Customer Survey and our success and longevity. Contact us to learn more.",1993,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675aad0af99e9d000182a20a/picture
Advocate Health Advisors,Advocate Health Advisors,Cold,insurance,240,insurance,,http://www.advocateforagents.com,http://www.linkedin.com/company/advocate-health-llc,https://facebook.com/advocatehealthadvisors,https://twitter.com/Advocate4Agents,1845 Tamiami Trl S,Venice,Florida,United States,34293,"1845 Tamiami Trl S, Venice, Florida, United States, 34293","medicare advantage, medicare, medicaid, pdp plans",'+1 800-709-5513,,"Cloudflare DNS, CloudFlare Hosting, Outlook, MailChimp SPF, Microsoft Office 365, Google Tag Manager, Mobile Friendly, ASP.NET, reCAPTCHA, Bootstrap Framework, YouTube, Remote",,,,,22000000,,675e5d1978d7a801b0bcc4e9,8000,"Partner with the Best! Advocate Health Advisors (AHA) is your ultimate Partner for Medicare sales and marketing. We offer the most successful local and licensed agent support network nationwide. AHA's reputable local licensed insurance Agents serve as supportive and knowledgeable resources, helping their clients navigate the Medicare landscape and make choices that best meet healthcare needs and financial situations.

A values-based, community-focused partner, AHA provides Agents with an unparalleled level of customized support and appreciation, leveraging a track record of successes, best practices, national partnerships, and infrastructure. The company helps local health insurance Agents succeed before, during, and after the sale by providing access to quality products that promote consumer health and well-being. AHA agents are dedicated to assisting Veterans in making informed decisions as they become eligible for Medicare benefits or consider changes to their existing Medicare coverage. For more information, Agents please visit AdvocateforAgents.com and Plan Holders please visit AdvocateforClients.com.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675d3ecc49d1a700018fe23c/picture
BKS Partners,BKS,Cold,insurance,240,insurance,,,http://www.linkedin.com/company/baldwin-krystyn-sherman-partners,,,4211 W Boy Scout Blvd,Tampa,Florida,United States,33607-5736,"4211 W Boy Scout Blvd, Tampa, Florida, United States, 33607-5736","commercial risk management, employee benefits, private risk management, wellness, safety programs, asset, income protection, retirement, wealth management, insurance, cyber insurance, 401k, life insurance, disability insurance, long term care",'+1 863-686-2113,"PROTECTING THE POSSIBLE The Baldwin Group is an award-winning, entrepreneur-led advisory firm delivering insurance, risk mitigation, employee benefits…","Salesforce, Route 53, Sendgrid, Mimecast, Outlook, Webflow, Adobe Marketing Cloud, Datadog, Nginx, New Relic, Varnish, Google AdWords Conversion, Google Dynamic Remarketing, DoubleClick Conversion, WordPress.org, Mobile Friendly, Gravity Forms, Vimeo, Adobe Media Optimizer, Bootstrap Framework, Cedexis Radar, DoubleClick, reCAPTCHA, Google Tag Manager, Linkedin Marketing Solutions, Workday Recruit, Google Font API",,,,,8100000,,675e5d2178d7a801b0bcc51a,,"BKS Partners and our partner firms have unified as one brand, The Baldwin Group!
 
The Baldwin Group is a cohesive group of experts in business insurance, employee benefits, retirement planning, and all areas of private and personal insurance. Since our founding in 2011, we've evolved from a local business into a national firm with a vast network of specializations and industry practices for the benefit of our more than two million clients across the country. 
 
In addition, we have built excellent relationships with a wide range of insurance company partners. These relationships, coupled with our entrepreneurial and family-oriented culture, and deep expertise enable us to seamlessly deliver a breadth of innovative solutions to clients.
 
At The Baldwin Group, we help provide the solutions our clients need to have confidence and gain peace of mind as they pursue what's possible for themselves, their families, and their businesses. Whether they are renting their first apartment or buying a larger home, opening a small business or taking their company public, we offer solutions to support them on every step of their journey. This has been our story since the beginning—we provide the indispensable expertise and quality insights that give our clients peace of mind to pursue their purpose, passion, and dreams. And that's what The Baldwin Group will continue to do for years to come: we protect the possible.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675b5cb1c3f0b600017463f5/picture
AgentSync,AgentSync,Cold,insurance,230,insurance,,http://www.agentsync.io,http://www.linkedin.com/company/agentsync,https://facebook.com/agentsync/,https://twitter.com/AgentSync,3601 Walnut St,Denver,Colorado,United States,80205-2251,"3601 Walnut St, Denver, Colorado, United States, 80205-2251","insurtech, compliance, saas, insurance, producer management, insurance licensing, producer experience, advisor management, advisor experience, insurance compliance, regulation",'+1 860-297-3800,AgentSync's insurance compliance software automatically enforces state producer licensing and appointment regulatory requirements. See how our modern insurance compliance solutions can benefit you.,"Salesforce, Route 53, Gmail, Pardot, Google Apps, Microsoft Office 365, CloudFlare Hosting, Flywheel, Atlassian Cloud, React Redux, React, StackAdapt, StatusPage IO, MongoDB, Mobile Friendly, CrazyEgg, Google Dynamic Remarketing, WordPress.org, Google AdWords Conversion, Bootstrap Framework, Google Tag Manager, DoubleClick Conversion, Wistia, Twitter Advertising, Linkedin Marketing Solutions, Bing Ads, Greenhouse.io, DoubleClick, reCAPTCHA, Google Font API, Hubspot, AppNexus, Intercom, Google Analytics, Remote",161100000,Series B,50000000,2023-10-01,21000000,,675e5d2178d7a801b0bcc522,,"AgentSync builds modern insurance infrastructure that connects carriers, agencies, MGAs, and producers. With customer-centric design, seamless APIs, automation, and unparalleled service AgentSync's solutions create onboarding, licensing, and appointing processes insurers and producers love while ensuring growth and compliance never compete. 

Founded in 2018 by Niranjan ""Niji"" Sabharwal and Jenn Knight, and headquartered in Denver, Colo., AgentSync has been recognized as one of Denver's Best Places to Work, as a Forbes Magazine Cloud 100 Rising Star, an Insurtech Insights Future 50 winner, and is ranked 88 in Forbes – America's 500 Best Startup Employers 2022.

Candidates: AgentSync Recruiting & Talent teams will only communicate with you using @agentsync.io email addresses. When you receive communication from AgentSync, check the email address domain to ensure you're connected with our team (and not a scammer!).",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6737190e7995f10001d81d4a/picture
Pekin Insurance,Pekin Insurance,Cold,insurance,730,insurance,,http://www.pekininsurance.com,http://www.linkedin.com/company/pekin-insurance,https://facebook.com/PekinInsurance,https://twitter.com/pekininsurance,2505 Court Street,Pekin,Illinois,United States,61554,"2505 Court Street, Pekin, Illinois, United States, 61554","auto, home, business, life & health insurance",'+1 800-322-0160,,"Amazon CloudFront, Mimecast, Amazon Elastic Load Balancer, Amazon AWS, Hubspot, VueJS, Eloqua, Remote, Duck Creek, AI",,,,,259054000,1,675e5d2178d7a801b0bcc52e,"6411, 6331, 6321","We help our customers build their dreams. Or rebuild their lives. At Pekin Insurance,® we provide peace of mind and long-term security for our policyholders, shareholders, agents, and employees.

Through wars. Peace. Economic downturns and upswings. We've remained undaunted. Flexible. Innovative. We've always managed to find ways to get the job done. Since 1921.

Today, we're one of the nation's most successful insurance providers, with combined assets of $2 billion, more than 900 employees, 1,200 agencies, and 7,500 independent agents.",1921,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675cfb8fa22f660001ed779e/picture
